實驗ID,時間區間,空方損益,空方MDD估算,空方勝率估算,空方交易次數,參數,備註
1485,11:15-11:30,-329.9,329.9,51.7%,53,20(15%)/35(20%)/50(20%),MDD/勝率為估算值
1403,11:15-11:30,-331.0,331.0,42.0%,89,20(10%)/40(20%)/50(20%),MDD/勝率為估算值
4782,10:45-11:00,-332.7,332.7,48.6%,70,25(20%)/30(10%)/40(20%),MDD/勝率為估算值
1599,11:15-11:30,-332.9,332.9,47.9%,53,20(20%)/40(10%)/45(20%),MDD/勝率為估算值
4634,10:45-11:00,-333.2,333.2,47.9%,101,25(10%)/40(15%)/50(20%),MDD/勝率為估算值
3939,10:45-11:00,-333.5,333.5,47.1%,70,15(10%)/30(20%)/45(20%),MDD/勝率為估算值
1457,11:15-11:30,-333.6,333.6,45.7%,89,20(15%)/30(20%)/50(20%),MDD/勝率為估算值
3984,10:45-11:00,-333.6,333.6,45.7%,70,15(10%)/40(15%)/45(20%),MDD/勝率為估算值
1248,11:15-11:30,-333.7,333.7,51.7%,53,15(20%)/35(10%)/45(20%),MDD/勝率為估算值
4041,10:45-11:00,-334.4,334.4,45.0%,70,15(15%)/30(15%)/50(20%),MDD/勝率為估算值
4268,10:45-11:00,-334.5,334.5,49.0%,101,20(10%)/35(10%)/40(20%),MDD/勝率為估算值
1254,11:15-11:30,-335.7,335.7,52.6%,53,15(20%)/35(15%)/40(20%),MDD/勝率為估算值
1464,11:15-11:30,-336.2,336.2,43.1%,53,20(15%)/35(10%)/45(20%),MDD/勝率為估算值
1830,11:15-11:30,-336.4,336.4,49.8%,53,25(15%)/40(20%)/40(20%),MDD/勝率為估算值
1824,11:15-11:30,-336.9,336.9,48.9%,53,25(15%)/40(15%)/45(20%),MDD/勝率為估算值
1760,11:15-11:30,-337.2,337.2,47.0%,89,25(15%)/30(10%)/45(20%),MDD/勝率為估算值
4170,10:45-11:00,-337.2,337.2,47.1%,70,15(20%)/35(15%)/40(20%),MDD/勝率為估算值
4205,10:45-11:00,-337.2,337.2,47.9%,101,15(20%)/40(20%)/40(20%),MDD/勝率為估算值
4049,10:45-11:00,-337.4,337.4,45.7%,101,15(15%)/30(20%)/50(20%),MDD/勝率為估算值
1073,11:15-11:30,-338.1,338.1,44.5%,89,15(10%)/40(20%)/40(20%),MDD/勝率為估算值
1470,11:15-11:30,-338.2,338.2,53.6%,53,20(15%)/35(15%)/40(20%),MDD/勝率為估算值
4296,10:45-11:00,-338.7,338.7,48.6%,70,20(10%)/40(10%)/40(20%),MDD/勝率為估算值
1893,11:15-11:30,-338.9,338.9,53.6%,53,25(20%)/35(10%)/40(20%),MDD/勝率為估算值
4649,10:45-11:00,-338.9,338.9,46.8%,101,25(15%)/25(10%)/45(20%),MDD/勝率為估算值
1076,11:15-11:30,-339.1,339.1,43.3%,89,15(10%)/40(20%)/45(20%),MDD/勝率為估算值
1268,11:15-11:30,-339.8,339.8,42.0%,89,15(20%)/35(20%)/50(20%),MDD/勝率為估算值
1401,11:15-11:30,-340.4,340.4,48.9%,53,20(10%)/40(20%)/45(20%),MDD/勝率為估算值
4731,10:45-11:00,-340.9,340.9,47.1%,70,25(15%)/40(10%)/45(20%),MDD/勝率為估算值
3296,11:45-12:00,-341.1,341.1,44.4%,99,20(10%)/35(10%)/40(20%),MDD/勝率為估算值
4140,10:45-11:00,-341.7,341.7,45.0%,70,15(20%)/30(10%)/50(20%),MDD/勝率為估算值
3329,11:45-12:00,-342.2,342.2,43.3%,99,20(10%)/40(10%)/50(20%),MDD/勝率為估算值
4190,10:45-11:00,-342.2,342.2,45.7%,101,15(20%)/40(10%)/45(20%),MDD/勝率為估算值
4682,10:45-11:00,-342.4,342.4,50.1%,101,25(15%)/30(15%)/40(20%),MDD/勝率為估算值
1605,11:15-11:30,-342.9,342.9,48.9%,53,20(20%)/40(15%)/40(20%),MDD/勝率為估算值
1584,11:15-11:30,-343.5,343.5,50.8%,53,20(20%)/35(15%)/50(20%),MDD/勝率為估算值
1809,11:15-11:30,-344.0,344.0,52.6%,53,25(15%)/35(20%)/50(20%),MDD/勝率為估算值
4056,10:45-11:00,-344.1,344.1,45.7%,70,15(15%)/35(10%)/45(20%),MDD/勝率為估算值
1050,11:15-11:30,-344.6,344.6,51.7%,53,15(10%)/35(20%)/45(20%),MDD/勝率為估算值
4304,10:45-11:00,-344.6,344.6,49.0%,101,20(10%)/40(15%)/40(20%),MDD/勝率為估算值
1347,11:15-11:30,-345.4,345.4,43.8%,53,20(10%)/30(20%)/45(20%),MDD/勝率為估算值
1560,11:15-11:30,-345.4,345.4,51.7%,53,20(20%)/30(20%)/40(20%),MDD/勝率為估算值
1757,11:15-11:30,-345.9,345.9,48.2%,89,25(15%)/30(10%)/40(20%),MDD/勝率為估算值
1554,11:15-11:30,-346.1,346.1,52.6%,53,20(20%)/30(15%)/45(20%),MDD/勝率為估算值
1376,11:15-11:30,-346.4,346.4,43.3%,89,20(10%)/35(20%)/50(20%),MDD/勝率為估算值
4046,10:45-11:00,-346.4,346.4,46.8%,101,15(15%)/30(20%)/45(20%),MDD/勝率為估算值
4206,10:45-11:00,-347.0,347.0,47.1%,70,15(20%)/40(20%)/40(20%),MDD/勝率為估算值
4676,10:45-11:00,-347.1,347.1,49.0%,101,25(15%)/30(10%)/45(20%),MDD/勝率為估算值
4323,10:45-11:00,-347.6,347.6,49.3%,70,20(15%)/25(10%)/40(20%),MDD/勝率為估算值
1725,11:15-11:30,-347.8,347.8,48.9%,53,25(10%)/40(20%)/45(20%),MDD/勝率為估算值
3215,11:45-12:00,-349.1,349.1,42.2%,99,15(20%)/40(10%)/40(20%),MDD/勝率為估算值
1788,11:15-11:30,-350.3,350.3,52.6%,53,25(15%)/35(10%)/45(20%),MDD/勝率為估算值
3008,11:45-12:00,-350.4,350.4,43.3%,99,15(10%)/40(15%)/40(20%),MDD/勝率為估算值
1661,11:15-11:30,-351.5,351.5,48.2%,89,25(10%)/30(15%)/45(20%),MDD/勝率為估算值
4700,10:45-11:00,-351.8,351.8,49.0%,101,25(15%)/35(10%)/40(20%),MDD/勝率為估算值
4583,10:45-11:00,-351.9,351.9,50.1%,101,25(10%)/30(20%)/40(20%),MDD/勝率為估算值
1794,11:15-11:30,-352.3,352.3,53.6%,53,25(15%)/35(15%)/40(20%),MDD/勝率為估算值
1037,11:15-11:30,-352.5,352.5,44.5%,89,15(10%)/35(15%)/40(20%),MDD/勝率為估算值
1118,11:15-11:30,-352.5,352.5,45.7%,89,15(15%)/30(15%)/40(20%),MDD/勝率為估算值
4661,10:45-11:00,-352.5,352.5,49.7%,93,25(15%)/25(15%)/50(20%),MDD/勝率為估算值
3956,10:45-11:00,-353.2,353.2,45.7%,101,15(10%)/35(15%)/45(20%),MDD/勝率為估算值
1040,11:15-11:30,-353.5,353.5,43.3%,89,15(10%)/35(15%)/45(20%),MDD/勝率為估算值
1121,11:15-11:30,-353.5,353.5,44.5%,89,15(15%)/30(15%)/45(20%),MDD/勝率為估算值
4224,10:45-11:00,-353.5,353.5,50.7%,70,20(10%)/25(15%)/40(20%),MDD/勝率為估算值
4047,10:45-11:00,-353.8,353.8,45.7%,70,15(15%)/30(20%)/45(20%),MDD/勝率為估算值
3959,10:45-11:00,-353.9,353.9,44.7%,101,15(10%)/35(15%)/50(20%),MDD/勝率為估算值
4322,10:45-11:00,-354.1,354.1,49.0%,101,20(15%)/25(10%)/40(20%),MDD/勝率為估算值
4773,10:45-11:00,-354.2,354.2,51.7%,64,25(20%)/25(20%)/40(20%),MDD/勝率為估算值
4091,10:45-11:00,-354.4,354.4,45.7%,101,15(15%)/40(15%)/45(20%),MDD/勝率為估算值
4350,10:45-11:00,-354.4,354.4,49.3%,70,20(15%)/30(10%)/40(20%),MDD/勝率為估算值
4020,10:45-11:00,-354.9,354.9,47.9%,70,15(15%)/25(20%)/45(20%),MDD/勝率為估算值
1293,11:15-11:30,-356.0,356.0,48.9%,53,15(20%)/40(20%)/45(20%),MDD/勝率為估算值
1365,11:15-11:30,-356.3,356.3,43.1%,53,20(10%)/35(15%)/45(20%),MDD/勝率為估算值
1569,11:15-11:30,-356.3,356.3,52.6%,53,20(20%)/35(10%)/40(20%),MDD/勝率為估算值
4746,10:45-11:00,-356.5,356.5,47.9%,70,25(15%)/40(20%)/40(20%),MDD/勝率為估算值
4710,10:45-11:00,-358.1,358.1,49.0%,70,25(15%)/35(15%)/40(20%),MDD/勝率為估算值
1509,11:15-11:30,-358.5,358.5,48.9%,53,20(15%)/40(20%)/45(20%),MDD/勝率為估算值
1511,11:15-11:30,-358.6,358.6,42.0%,89,20(15%)/40(20%)/50(20%),MDD/勝率為估算值
1658,11:15-11:30,-360.1,360.1,49.4%,89,25(10%)/30(15%)/40(20%),MDD/勝率為估算值
