date,range_high,range_low,range_size,range_midpoint,has_long_entry,entry_time,entry_price,breakout_strength,total_pnl,lot1_pnl,lot2_pnl,lot3_pnl,lot1_exit_type,lot2_exit_type,lot3_exit_type,lot1_exit_time,lot2_exit_time,lot3_exit_time,lot1_exit_price,lot2_exit_price,lot3_exit_price,max_favorable,max_adverse,trade_duration_minutes
2024-11-19,22649.0,22611.0,38.0,22630.0,True,08:51:00,22667.0,18.0,-168,-56,-56,-56,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:12:00,09:12:00,09:12:00,22611.0,22611.0,22611.0,38.0,-65.0,21.0
2024-11-20,22930.0,22892.0,38.0,22911.0,True,08:49:00,22938.0,8.0,-138,-46,-46,-46,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:06:00,09:06:00,09:06:00,22892.0,22892.0,22892.0,15.0,-51.0,17.0
2024-11-21,22679.0,22644.0,35.0,22661.5,True,11:22:00,22691.0,12.0,-141,-47,-47,-47,initial_stop_loss,initial_stop_loss,initial_stop_loss,11:59:00,11:59:00,11:59:00,22644.0,22644.0,22644.0,38.0,-47.0,37.0
2024-11-22,22818.0,22781.0,37.0,22799.5,True,08:50:00,22840.0,22.0,576,192,192,192,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,23032.0,23032.0,23032.0,215.0,-10.0,295.0
2024-11-25,23285.0,23222.0,63.0,23253.5,False,,,,0,0,0,0,no_entry,no_entry,no_entry,,,,,,,0.0,0.0,0.0
2024-11-28,22345.0,22300.0,45.0,22322.5,True,08:49:00,22361.0,16.0,-183,-61,-61,-61,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:06:00,09:06:00,09:06:00,22300.0,22300.0,22300.0,19.0,-66.0,17.0
2024-12-02,22540.0,22498.0,42.0,22519.0,True,08:48:00,22561.0,21.0,783,261,261,261,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,22822.0,22822.0,22822.0,261.0,0.0,297.0
2024-12-03,23181.0,23134.0,47.0,23157.5,False,,,,0,0,0,0,no_entry,no_entry,no_entry,,,,,,,0.0,0.0,0.0
2024-12-04,23216.0,23165.0,51.0,23190.5,True,12:45:00,23219.0,3.0,201,67,67,67,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,23286.0,23286.0,23286.0,68.0,-7.0,60.0
2024-12-05,23279.0,23243.0,36.0,23261.0,True,08:49:00,23284.0,5.0,-123,-41,-41,-41,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:19:00,09:19:00,09:19:00,23243.0,23243.0,23243.0,29.0,-42.0,30.0
2024-12-09,23241.0,23183.0,58.0,23212.0,True,08:56:00,23245.0,4.0,-186,-62,-62,-62,initial_stop_loss,initial_stop_loss,initial_stop_loss,12:42:00,12:42:00,12:42:00,23183.0,23183.0,23183.0,31.0,-63.0,226.0
2024-12-10,23274.0,23178.0,96.0,23226.0,True,09:03:00,23281.0,7.0,-309,-103,-103,-103,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:38:00,09:38:00,09:38:00,23178.0,23178.0,23178.0,51.0,-118.0,35.0
2024-12-11,22921.0,22863.0,58.0,22892.0,True,09:07:00,22929.0,8.0,-198,-66,-66,-66,initial_stop_loss,initial_stop_loss,initial_stop_loss,12:35:00,12:35:00,12:35:00,22863.0,22863.0,22863.0,114.0,-67.0,208.0
2024-12-12,23042.0,23003.0,39.0,23022.5,True,08:48:00,23044.0,2.0,189,63,63,63,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,23107.0,23107.0,23107.0,161.0,0.0,297.0
2024-12-13,22999.0,22958.0,41.0,22978.5,True,09:01:00,23008.0,9.0,-150,-50,-50,-50,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:06:00,09:06:00,09:06:00,22958.0,22958.0,22958.0,0.0,-59.0,5.0
2024-12-16,23235.0,23195.0,40.0,23215.0,True,09:00:00,23243.0,8.0,-144,-48,-48,-48,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:16:00,09:16:00,09:16:00,23195.0,23195.0,23195.0,13.0,-64.0,16.0
2024-12-17,23134.0,23090.0,44.0,23112.0,True,08:48:00,23139.0,5.0,-147,-49,-49,-49,initial_stop_loss,initial_stop_loss,initial_stop_loss,08:58:00,08:58:00,08:58:00,23090.0,23090.0,23090.0,0.0,-56.0,10.0
2024-12-18,22957.0,22922.0,35.0,22939.5,True,09:00:00,22969.0,12.0,-141,-47,-47,-47,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:09:00,09:09:00,09:09:00,22922.0,22922.0,22922.0,0.0,-64.0,9.0
2024-12-19,22779.0,22727.0,52.0,22753.0,True,09:01:00,22818.0,39.0,102,34,34,34,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,22852.0,22852.0,22852.0,81.0,-50.0,284.0
2024-12-23,22955.0,22897.0,58.0,22926.0,True,08:48:00,22956.0,1.0,831,277,277,277,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,23233.0,23233.0,23233.0,277.0,-44.0,297.0
